"subject_no" "activity" "variable" "average"
"1" 1 "LAYING" "fBodyAccJerkmean()X" -0.9570738838
"2" 1 "LAYING" "fBodyAccJerkmean()Y" -0.9224626098
"3" 1 "LAYING" "fBodyAccJerkmean()Z" -0.9480609042
"4" 1 "LAYING" "fBodyAccJerkmeanFreq()X" 0.132419092398
"5" 1 "LAYING" "fBodyAccJerkmeanFreq()Y" 0.024513618956
"6" 1 "LAYING" "fBodyAccJerkmeanFreq()Z" 0.02438794528
"7" 1 "LAYING" "fBodyAccJerkstd()X" -0.9641607086
"8" 1 "LAYING" "fBodyAccJerkstd()Y" -0.9322178704
"9" 1 "LAYING" "fBodyAccJerkstd()Z" -0.9605869872
"10" 1 "LAYING" "fBodyAccMagmean()" -0.8617676481
"11" 1 "LAYING" "fBodyAccMagmeanFreq()" 0.08640856294
"12" 1 "LAYING" "fBodyAccMagstd()" -0.7983009404
"13" 1 "LAYING" "fBodyAccmean()X" -0.9390990524
"14" 1 "LAYING" "fBodyAccmean()Y" -0.86706520518
"15" 1 "LAYING" "fBodyAccmean()Z" -0.8826668762
"16" 1 "LAYING" "fBodyAccmeanFreq()X" -0.158792670508
"17" 1 "LAYING" "fBodyAccmeanFreq()Y" 0.097534841586
"18" 1 "LAYING" "fBodyAccmeanFreq()Z" 0.08943765522
"19" 1 "LAYING" "fBodyAccstd()X" -0.9244374346
"20" 1 "LAYING" "fBodyAccstd()Y" -0.8336255561
"21" 1 "LAYING" "fBodyAccstd()Z" -0.81289155944
"22" 1 "LAYING" "fBodyBodyAccJerkMagmean()" -0.9333003608
"23" 1 "LAYING" "fBodyBodyAccJerkMagmeanFreq()" 0.26639115416
"24" 1 "LAYING" "fBodyBodyAccJerkMagstd()" -0.9218039756
"25" 1 "LAYING" "fBodyBodyGyroJerkMagmean()" -0.9423669466
"26" 1 "LAYING" "fBodyBodyGyroJerkMagmeanFreq()" 0.17648590708
"27" 1 "LAYING" "fBodyBodyGyroJerkMagstd()" -0.9326606676
"28" 1 "LAYING" "fBodyBodyGyroMagmean()" -0.8621901854
"29" 1 "LAYING" "fBodyBodyGyroMagmeanFreq()" -0.1397750127
"30" 1 "LAYING" "fBodyBodyGyroMagstd()" -0.82431943968
"31" 1 "LAYING" "fBodyGyromean()X" -0.850249174586
"32" 1 "LAYING" "fBodyGyromean()Y" -0.9521914948
"33" 1 "LAYING" "fBodyGyromean()Z" -0.909302721
"34" 1 "LAYING" "fBodyGyromeanFreq()X" -0.003546795856
"35" 1 "LAYING" "fBodyGyromeanFreq()Y" -0.091529130882
"36" 1 "LAYING" "fBodyGyromeanFreq()Z" 0.01045812566
"37" 1 "LAYING" "fBodyGyrostd()X" -0.8822964508
"38" 1 "LAYING" "fBodyGyrostd()Y" -0.9512320494
"39" 1 "LAYING" "fBodyGyrostd()Z" -0.9165825082
"40" 1 "LAYING" "tBodyAccJerkMagmean()" -0.9543962646
"41" 1 "LAYING" "tBodyAccJerkMagstd()" -0.9282456284
"42" 1 "LAYING" "tBodyAccJerkmean()X" 0.0810865342
"43" 1 "LAYING" "tBodyAccJerkmean()Y" 0.0038382040088
"44" 1 "LAYING" "tBodyAccJerkmean()Z" 0.010834236361
"45" 1 "LAYING" "tBodyAccJerkstd()X" -0.958482112
"46" 1 "LAYING" "tBodyAccJerkstd()Y" -0.9241492736
"47" 1 "LAYING" "tBodyAccJerkstd()Z" -0.9548551108
"48" 1 "LAYING" "tBodyAccMagmean()" -0.8419291525
"49" 1 "LAYING" "tBodyAccMagstd()" -0.79514486386
"50" 1 "LAYING" "tBodyAccmean()X" 0.22159824394
"51" 1 "LAYING" "tBodyAccmean()Y" -0.0405139534294
"52" 1 "LAYING" "tBodyAccmean()Z" -0.11320355358
"53" 1 "LAYING" "tBodyAccstd()X" -0.9280564692
"54" 1 "LAYING" "tBodyAccstd()Y" -0.83682740562
"55" 1 "LAYING" "tBodyAccstd()Z" -0.826061401628
"56" 1 "LAYING" "tBodyGyroJerkMagmean()" -0.96346103
"57" 1 "LAYING" "tBodyGyroJerkMagstd()" -0.9358409828
"58" 1 "LAYING" "tBodyGyroJerkmean()X" -0.107270949192
"59" 1 "LAYING" "tBodyGyroJerkmean()Y" -0.04151728689
"60" 1 "LAYING" "tBodyGyroJerkmean()Z" -0.0740501211
"61" 1 "LAYING" "tBodyGyroJerkstd()X" -0.9186085208
"62" 1 "LAYING" "tBodyGyroJerkstd()Y" -0.9679072436
"63" 1 "LAYING" "tBodyGyroJerkstd()Z" -0.9577901596
"64" 1 "LAYING" "tBodyGyroMagmean()" -0.874759548
"65" 1 "LAYING" "tBodyGyroMagstd()" -0.81901016976
"66" 1 "LAYING" "tBodyGyromean()X" -0.016553093978
"67" 1 "LAYING" "tBodyGyromean()Y" -0.064486124088
"68" 1 "LAYING" "tBodyGyromean()Z" 0.14868943626
"69" 1 "LAYING" "tBodyGyrostd()X" -0.87354386782
